analysis_date,symbol,expiry,strike,stock_price,call_bid,call_ask,call_volume,call_open_interest,call_bid_iv,call_ask_iv,call_mid_iv,call_model_iv,call_delta,call_gamma,call_vega,call_theta,put_bid,put_ask,put_volume,put_open_interest,put_bid_iv,put_ask_iv,put_mid_iv,put_model_iv,put_delta,put_gamma,put_vega,put_theta,expiry_date,days_to_expiry,dte_diff,atm_diff,straddle_bid,straddle_ask,straddle_mid,spread_abs,spread_pct_mid,min_leg_volume,total_volume,min_leg_open_interest,total_open_interest,IV30D,IV180D,iv_slope,side,rank_desc,rank_asc
2026-02-25,IBM,20260320,240.0,238.0457000732422,8.9,9.35,210.0,0.0,0.396060261065111,0.4169590972405591,0.406509679152835,0.397369315128499,0.4971818388458164,0.0168267034027896,0.239265102917507,-0.2191345689421542,10.05,10.7,199.0,2687.0,0.3875871408993552,0.4147761303005142,0.4011816355999347,0.397369315128499,-0.5056150501645605,0.0169858360228664,0.2390645205584771,-0.1954575087866512,2026-03-20,23,7,1.9542999267578125,18.950000000000003,20.049999999999997,19.5,1.0999999999999943,0.05641025641025612,199.0,409.0,0.0,2687.0,0.4038456573763849,0.4038456573763849,0.0,none,365,365
2026-02-25,IFF,20260320,80.0,79.31,1.7,2.15,18.0,0.0,0.2492080872650841,0.3056747051646387,0.2774413962148614,0.2547639283763925,0.4734368679333664,0.0787716621855108,0.0797363217914854,0.0799627513506817,2.35,2.9,3.0,72.0,0.2537220950374688,0.3229437005853716,0.2883328978114202,0.2547639283763925,-0.5316107852326418,0.0801072533273977,0.0795127846102832,-0.1767481293750803,2026-03-20,23,7,0.6899999999999977,4.05,5.05,4.55,1.0,0.21978021978021978,3.0,21.0,0.0,72.0,0.2828871470131408,0.2828871470131408,0.0,none,366,366
2026-02-25,IONQ,20260320,34.0,33.78,3.3,3.5,50.0,0.0,0.99734337577561,1.0568468197876022,1.027095097781606,1.0307186848537169,0.5457365042129935,0.0454522624427907,0.0336202432874839,-0.0774096288266483,3.5,3.65,8.0,28.0,1.0077459652526717,1.052373265429489,1.0300596153410804,1.0307186848537169,-0.4551892226352705,0.0456013490989533,0.0336221881786396,-0.0740484529741714,2026-03-20,23,7,0.21999999999999886,6.8,7.15,6.975,0.35000000000000053,0.05017921146953413,8.0,58.0,0.0,28.0,1.0285773565613432,1.0285773565613432,0.0,none,367,367
2026-02-25,IREN,20260327,46.0,45.6135,5.1,5.55,23.0,0.0,1.0017569261739123,1.0887925919898371,1.0452747590818747,1.0498941501575263,0.5531651763782406,0.0288687693774017,0.051707996699946,-0.0929866944078749,5.25,5.85,3.0,37.0,0.9770070662167324,1.0930208590802557,1.035013962648494,1.0498941501575263,-0.4479210183107193,0.0289833130004414,0.0517114925036947,-0.0884688844359748,2026-03-27,30,0,0.38649999999999807,10.35,11.399999999999999,10.875,1.049999999999999,0.09655172413793094,3.0,26.0,0.0,37.0,1.0401443608651844,1.0401443608651844,0.0,none,368,368
2026-02-25,IRM,20260327,111.0,111.4,4.3,5.4,0.0,0.0,0.335417467290417,0.4171958522437319,0.3763066597670744,0.3397654669780303,0.5345776280594717,0.0387723470920117,0.1245670501309845,-0.0842811775241516,4.1,5.0,0.0,0.0,0.3267840380122195,0.3716744469229879,0.3492292424676037,0.3397654669780303,-0.4822187481145991,0.0374404035053618,0.1261784790699058,-0.0663904549763803,2026-03-27,30,0,0.4000000000000057,8.399999999999999,10.4,9.399999999999999,2.0000000000000018,0.21276595744680873,0.0,0.0,0.0,0.0,0.362767951117339,0.362767951117339,0.0,none,369,369
2026-02-25,JD,20260327,27.0,27.5,1.48,1.68,0.0,0.0,0.3877474191670765,0.4247141276309347,0.4062307733990056,0.3981328570162274,0.5964582082749676,0.1238093570529161,0.0308594871365082,-0.0222109450494762,0.89,1.03,41.0,736.0,0.3941607049779652,0.4200320798054602,0.4070963923917127,0.3981328570162274,-0.4059099639513405,0.1249199078194405,0.0308670002961886,-0.0195015451499676,2026-03-27,30,0,0.5,2.37,2.71,2.54,0.33999999999999986,0.13385826771653536,0.0,41.0,0.0,736.0,0.4066635828953592,0.4066635828953592,0.0,none,370,370
2026-02-25,JPM,20260327,300.0,301.68,10.25,11.5,74.0,0.0,0.2558532235013114,0.2924112637534206,0.274132243627366,0.2766709911738942,0.5626283645003517,0.0164633122154886,0.3419810270673462,-0.1752990227938156,8.15,9.3,7.0,157.0,0.2720114266179765,0.3056375099345566,0.2888244682762665,0.2766709911738942,-0.4439363409445616,0.0167386459572608,0.3419402181680091,-0.1454100948171692,2026-03-27,30,0,1.6800000000000068,18.4,20.8,19.6,2.400000000000002,0.12244897959183683,7.0,81.0,0.0,157.0,0.2814783559518163,0.2814783559518163,0.0,none,371,371
2026-02-25,KMX,20260320,42.5,42.36,2.0,2.35,6.0,0.0,0.4769378412084673,0.5597694064255581,0.5183536238170127,0.5264757854100764,0.5247686462797666,0.071489682073858,0.0422573930732097,-0.0510497047416991,2.05,2.4,1.0,607.0,0.4762842929765599,0.5591379248569047,0.5177111089167323,0.5264757854100764,-0.4776519201336947,0.0719620473830279,0.0422438574222634,-0.0468369903104646,2026-03-20,23,7,0.14000000000000057,4.05,4.75,4.4,0.7000000000000002,0.15909090909090912,1.0,7.0,0.0,607.0,0.5180323663668724,0.5180323663668724,0.0,none,372,372
2026-02-25,KO,20260327,80.0,80.44,1.64,1.89,111.0,0.0,0.1764457249244602,0.1924833615445206,0.1844645432344904,0.1875466791712519,0.5531735847840951,0.1027730700965102,0.0879304278774326,-0.0377174386809684,1.52,1.71,2.0,43.0,0.1712007513661284,0.1920628272664298,0.1816317893162791,0.1875466791712519,-0.4846463648192923,0.0949101513707487,0.0910867472310856,-0.0248631258554656,2026-03-27,30,0,0.4399999999999977,3.16,3.5999999999999996,3.38,0.4399999999999995,0.13017751479289927,2.0,113.0,0.0,43.0,0.1830481662753847,0.1830481662753847,0.0,none,373,373
2026-02-25,LMND,20260327,52.0,51.54,4.4,5.1,47.0,0.0,0.7673686745382834,0.8867659165628954,0.8270672955505893,0.8009732832314931,0.5363480367184943,0.033680388406702,0.0586445823546979,-0.0813313607015606,4.3,4.9,18.0,0.0,0.7022914114785448,0.8045064393158641,0.7533989253972044,0.8009732832314931,-0.4651006914919041,0.0338532342337227,0.0586438087053577,-0.0762096198046009,2026-03-27,30,0,0.46000000000000085,8.7,10.0,9.35,1.3000000000000007,0.1390374331550803,18.0,65.0,0.0,0.0,0.7902331104738969,0.7902331104738969,0.0,none,374,374
