symbol,expiry,strike,stock_price,call_bid,call_ask,call_volume,call_open_interest,call_bid_iv,call_ask_iv,call_mid_iv,call_model_iv,call_delta,call_gamma,call_vega,call_theta,put_bid,put_ask,put_volume,put_open_interest,put_bid_iv,put_ask_iv,put_mid_iv,put_model_iv,put_delta,put_gamma,put_vega,put_theta,atm_iv,expiry_date,days_to_expiry
CW,20260821,700.0,700.5600000000001,73.7,78.7,0.0,0.0,0.35913237939288034,0.3853689637644473,0.3722506715786638,0.36790008061562623,0.5720123515557759,0.002202814387509875,1.9057380200399763,-0.2330307560574596,62.0,67.0,0.0,0.0,0.3416831401807301,0.36790008061562623,0.3547916103981782,0.36790008061562623,-0.4361983369110611,0.0022583226024832826,1.9062672210499727,-0.16004027079050331,0.36352114098842103,2026-08-21,177
CW,20260918,700.0,700.5600000000001,80.0,85.0,0.0,0.0,0.3600480038015264,0.38450853585539063,0.3722782698284585,0.3651185806132043,0.5781631772566814,0.0020558937804041025,2.0443607676109252,-0.2166029475665141,66.0,71.0,0.0,1.0,0.3407754172199447,0.365218250152874,0.35299683368640933,0.3651185806132043,-0.43194660088182546,0.0021255097682530977,2.0445777781265377,-0.14685338246839308,0.36263755175743395,2026-09-18,205
CYTK,20260417,70.0,62.36,4.1,4.5,1524.0,0.0,0.7303547604074456,0.7762286449444179,0.7532917026759318,0.7706134411291378,0.40530081195138573,0.021731603890252738,0.09321615128913319,-0.06807028351573763,9.8,12.3,7.0,,0.5448748377414175,0.8292222233275319,0.6870485305344747,0.7706134411291378,-0.5982953304733891,0.02199370823785824,0.09180640010197294,-0.061597774794210025,0.7201701166052032,2026-04-17,51
CYTK,20260821,70.0,62.36,12.5,14.2,0.0,0.0,0.8621338299673499,0.9624011471463833,0.9122674885568666,0.9109612729188277,0.5655487017312837,0.009960232921597438,0.16949475428754113,-0.04605900599235291,19.0,21.6,0.0,5.0,0.862534308916657,1.0163483642172588,0.9394413365669579,0.9109612729188277,-0.4401389233587201,0.010206834388490212,0.1695218269790182,-0.039827294142362746,0.9258544125619123,2026-08-21,177
CYTK,20270115,70.0,62.36,15.0,19.5,1.0,0.0,0.7313920481880384,0.9327933219230153,0.8320926850555268,0.7794723431965151,0.6010094170052871,0.008434037734713353,0.2255425669616251,-0.029414762031432673,20.0,24.5,6.0,52.0,0.7036713479800708,0.9036813659097426,0.8036763569449067,0.7794723431965151,-0.40878231753532496,0.008827587703215551,0.22582937458418328,-0.023567447664891716,0.8178845210002168,2027-01-15,324
CZR,20260320,20.5,20.72,1.17,1.36,44.0,0.0,0.5084633227358178,0.6012987143012901,0.554881018518554,0.5724109613509665,0.5643422776654579,0.13265681759827805,0.020476432456339122,-0.026884005331698324,1.01,1.11,3.0,2.0,0.5532809227162371,0.592368985826128,0.5728249542711825,0.5724109613509665,-0.43712786566987066,0.13337529388299899,0.020478501646513436,-0.02483034954450014,0.5638529863948682,2026-03-20,23
CZR,20260327,20.5,20.72,1.3,1.53,0.0,0.0,0.4889389373011018,0.5960098590959337,0.5424743981985177,0.5388602839934133,0.5658879529266794,0.12332175328682976,0.02336247544990755,-0.022270892042325352,1.06,1.28,0.0,18.0,0.5001040017474369,0.5986014830746528,0.5493527424110448,0.5388602839934133,-0.4359908442287085,0.12418569233106044,0.02336552771834466,-0.020226733899274763,0.5459135703047813,2026-03-27,30
CZR,20260618,21.0,20.72,2.43,2.66,23.0,0.0,0.5360871921151392,0.5867864587417478,0.5614368254284435,0.5691768155809687,0.5613983487823395,0.06028244515944402,0.045365002473105154,-0.012444567358750547,2.49,2.79,17.0,328.0,0.5316314658024947,0.5977869496275551,0.5647092077150249,0.5691768155809687,-0.443868496174189,0.06152951475709982,0.0453565550431021,-0.010406464087426404,0.5630730165717341,2026-06-18,113
CZR,20260918,21.0,20.72,3.25,3.7,3.0,0.0,0.5191448871750249,0.5854958063590319,0.5523203467670283,0.5701891534327592,0.5919658934104473,0.04393460186707212,0.06021130285772358,-0.00930795288939068,3.35,3.85,0.0,610.0,0.5508697280348244,0.6340265464078034,0.592448137221314,0.5701891534327592,-0.4156065425643866,0.04536397493891367,0.060251772399504855,-0.007389731072663608,0.5723842419941712,2026-09-18,205
D,20260320,62.5,63.24,1.3,1.5,329.0,0.0,0.1911259413823376,0.22333785409763898,0.2072318977399883,0.21808401629004712,0.5419406024597343,0.11610680545760262,0.062343375673992174,-0.033299189055622014,1.15,1.3,23.0,1429.0,0.19779046219507534,0.2218691430881335,0.20982980264160442,0.21808401629004712,-0.46292031554016216,0.11813630833660788,0.06230358847813533,-0.027041358240391222,0.20853085019079637,2026-03-20,23
D,20260417,62.5,63.24,2.05,2.25,27.0,0.0,0.1991181840847351,0.22074840142498534,0.20993329275486022,0.21127218346764634,0.5522524704825956,0.08037274762008331,0.09244178753345977,-0.02272085999706075,1.65,2.1,0.0,552.0,0.19499382078341307,0.2437261318664693,0.2193599763249412,0.21127218346764634,-0.45631750452233666,0.08293171968186122,0.0923328795614522,-0.01655441283307102,0.2146466345399007,2026-04-17,51
D,20260717,62.5,63.24,3.3,3.7,1.0,0.0,0.19859939750545486,0.2247118157483704,0.21165560662691263,0.2042801036319181,0.5525198297098385,0.050094457792774126,0.15312449378115467,-0.014427726807636265,3.0,3.4,0.0,74.0,0.2042801036319181,0.23049301833482266,0.2173865609833704,0.2042801036319181,-0.46488688813731394,0.05286969038849215,0.15255600204509756,-0.008003474321566006,0.2145210838051415,2026-07-17,142
D,20260918,65.0,63.24,2.85,3.3,32.0,0.0,0.19835838203255873,0.22330841437849708,0.2108333982055279,0.21211301589223816,0.4643482183947832,0.04143421530992705,0.18380921169948872,-0.011873851492042675,4.9,5.7,0.0,18.0,0.19449506926959118,0.23877323819826357,0.21663415373392736,0.21211301589223816,-0.5605804808732019,0.04136082761728531,0.18251100169599965,-0.005226874206385901,0.21373377596972765,2026-09-18,205
DAL,20260320,70.0,68.95539093017578,2.79,2.93,29.0,0.0,0.4636706589465727,0.4910257673381661,0.4773482131423694,0.4747704970792777,0.47474773017220234,0.04860610137080399,0.06945583307149583,-0.07537016767592508,3.55,4.0,12.0,2207.0,0.430329423314825,0.49519148892892656,0.4627604561218758,0.4747704970792777,-0.527721808092962,0.049008763503153384,0.06937461743867646,-0.0684677865158676,0.4700543346321226,2026-03-20,23
DAL,20260327,69.0,68.95539093017578,3.4,3.85,2.0,0.0,0.43053302119481246,0.4878872319535383,0.45921012657417537,0.45854438229090627,0.5276062476596912,0.04417043610150801,0.07845898839478505,-0.06377657367234812,3.3,3.8,0.0,27.0,0.41850167616715495,0.4822476351705558,0.4503746556688554,0.45854438229090627,-0.475024020577216,0.04456995842237818,0.07842961785799796,-0.05697684035775241,0.45479239112151537,2026-03-27,30
DAL,20260618,70.0,68.96000000000001,6.45,6.6,761.0,0.0,0.4330895732467839,0.44291165613387684,0.43800061469033036,0.43902871807232957,0.5408675924341237,0.02370323012270106,0.15268237766380466,-0.033068956369256775,6.7,7.2,10.0,3643.0,0.4225074481461417,0.45532242536100953,0.4389149367535756,0.43902871807232957,-0.46653444645817993,0.024373390883471048,0.152351346928711,-0.026250183024721707,0.438457775721953,2026-06-18,113
DAL,20260918,70.0,68.96000000000001,8.75,9.35,3.0,0.0,0.41991304816944164,0.44945246130827393,0.43468275473885776,0.4360948155752846,0.570760745630892,0.01749055349688303,0.20304046379341223,-0.02481681665784663,8.55,9.15,4.0,4889.0,0.4187882169574296,0.44837496620834666,0.4335815915828881,0.4360948155752846,-0.43999625526061253,0.0182604471296253,0.2027256369186059,-0.01839812198958768,0.43413217316087294,2026-09-18,205
DASH,20260320,175.0,173.21,8.4,8.95,29.0,0.0,0.51240661291937,0.5497630021753153,0.5310848075473427,0.5215325048720059,0.5029043868181636,0.017590383296915823,0.17401608825372783,-0.20686227272075008,9.7,10.05,3.0,1683.0,0.5132327777594444,0.533355188779273,0.5232939832693587,0.5215325048720059,-0.4991330906995733,0.017711969127199315,0.17393490523225807,-0.18957069554125106,0.5271893954083506,2026-03-20,23
DASH,20260327,175.0,173.21,8.25,10.25,1.0,0.0,0.4434495927235811,0.5442082846269506,0.49382893867526584,0.5043585626339758,0.5096793450379113,0.015936118387791347,0.19844577738279057,-0.17600465422847833,10.2,11.6,0.0,9.0,0.477928696839495,0.5485168480745864,0.5132227724570407,0.5043585626339758,-0.49280920392027705,0.016072872536370977,0.198350624686098,-0.15878077598627627,0.5035258555661533,2026-03-27,30
DBX,20260320,24.0,24.39,1.0,1.15,0.0,0.0,0.2947243836169281,0.35990213049143605,0.32731325705418207,0.3422039085156021,0.6032277126349901,0.1853313732794573,0.02396131411546709,-0.019517368920820344,0.5,0.65,0.0,891.0,0.29931193753206836,0.3643651237095343,0.3318385306208013,0.3422039085156021,-0.39909053199399236,0.1869385245118806,0.02396601201706461,-0.017099511867815997,0.3295758938374917,2026-03-20,23
DBX,20260327,24.0,24.39,1.1,1.3,0.0,0.0,0.29206534868313805,0.3665825269787302,0.32932393783093417,0.3348477440748871,0.5992141141266538,0.16598235281894097,0.027343955607526338,-0.01685031257012759,0.6,0.8,1.0,20.0,0.3025016314827684,0.3764501701220109,0.33947590080238965,0.3348477440748871,-0.40364181800865695,0.16778171289227867,0.0273509261721796,-0.01444236723272807,0.3343999193166619,2026-03-27,30
DD,20260320,50.0,50.49,1.8,2.0,46.0,0.0,0.31395923201153475,0.35403522933997067,0.3339972306757527,0.3373145909177999,0.5564454859830482,0.09297025050649342,0.04990946514104033,-0.03976447176935616,1.35,1.5,2.0,,0.30725343253893794,0.3373145909177999,0.32228401172836896,0.3373145909177999,-0.44628998940684467,0.09384329763902373,0.04990836082086769,-0.034736787718279816,0.32814062120206083,2026-03-20,23
DD,20260417,50.0,50.49,2.6,2.85,14.0,0.0,0.30833004096840894,0.34209300035260837,0.3252115206605086,0.3325119467310097,0.5611917233701551,0.06327955466914864,0.0740525762348514,-0.026982704400195345,2.05,2.35,0.0,374.0,0.3090177783995424,0.34953660442066353,0.329277191410103,0.3325119467310097,-0.44356526932693097,0.06441461722311102,0.07404500263476121,-0.022046004034272926,0.3272443560353058,2026-04-17,51
DD,20260717,50.0,50.49,4.1,4.8,0.0,0.0,0.30072996079978304,0.35799232474010273,0.3293611427699429,0.3157483696070443,0.5704057748879903,0.0401315180077383,0.12226228031996467,-0.01615519787987818,3.5,3.9,15.0,280.0,0.31007579282171915,0.3427724796835656,0.3264241362526424,0.3157483696070443,-0.4377254609729568,0.04094847492886292,0.12235074793763401,-0.011327805739902441,0.32789263951129266,2026-07-17,142
DDOG,20260320,109.0,108.91,6.4,7.25,0.0,0.0,0.583274924289857,0.6615302441974079,0.6224025842436325,0.6282238460787456,0.5367700194075381,0.023224515328106585,0.10866380545324272,-0.15480107084022876,6.5,7.6,2.0,83.0,0.5989595012611614,0.700268118980304,0.6496138101207327,0.6282238460787456,-0.46476757666535967,0.023346218630113918,0.10865429257524362,-0.14399841621361542,0.6360081971821826,2026-03-20,23
DDOG,20260327,109.0,108.91,7.25,8.35,0.0,0.0,0.5764983518508471,0.6653439966190714,0.6209211742349592,0.5962483779119409,0.5405770053113477,0.021419661453561164,0.12390200016033948,-0.129189722010163,7.05,8.35,2.0,3.0,0.5721228719200487,0.6771369146056054,0.6246298932628271,0.5962483779119409,-0.46135016772405935,0.021562989398052432,0.12389256077824928,-0.11842981167528244,0.6227755337488932,2026-03-27,30
DDOG,20260918,110.0,108.91,19.7,20.65,3.0,0.0,0.5945779919250975,0.6246720001714215,0.6096249960482596,0.6033068259072883,0.5998989240974886,0.007848860339615392,0.315870329359214,-0.05132993160473731,18.5,19.6,4.0,782.0,0.5869665493231059,0.6233533532204086,0.6051599512717573,0.6033068259072883,-0.4071119714090765,0.008090443043021674,0.3161462274945883,-0.04126578568135031,0.6073924736600085,2026-09-18,205
DE,20260320,630.0,627.99,17.8,20.4,14.0,0.0,0.2854375639061912,0.3267587553651646,0.3060981596356779,0.30449297474093023,0.5129902671160688,0.00832011513947418,0.6292048732242179,-0.4514846118171185,18.05,22.45,39.0,195.0,0.28069967257778367,0.3506942378421642,0.31569695520997393,0.30449297474093023,-0.4901001817656359,0.00841666522160873,0.6287074300384603,-0.3896204833626946,0.3108975574228259,2026-03-20,23
DE,20260327,630.0,627.99,20.4,24.9,21.0,0.0,0.2831136099509136,0.34582437138221006,0.31446899066656187,0.29536182701073077,0.518357610456434,0.007512568184222479,0.7176942492014398,-0.3875350755307423,17.0,23.8,0.0,31.0,0.23409580367088473,0.32894362641575037,0.2815197150433175,0.29536182701073077,-0.4860790733086168,0.0076271867665006175,0.7169049197428485,-0.32567403054768107,0.2979943528549397,2026-03-27,30
DE,20260918,630.0,627.99,59.8,66.05,0.0,,0.29447754120078984,0.32836634446925406,0.31142194283502195,0.3099225470678261,0.573838882873931,0.0026972420407630968,1.8441392108757526,-0.17103950754314212,50.35,56.5,0.0,,0.29069128100217023,0.3240956286537174,0.3073934548279438,0.3099225470678261,-0.4399833129407127,0.0028472689936048633,1.8409328128986786,-0.112629548092265,0.3094076988314829,2026-09-18,205
DECK,20260320,119.0,119.29,4.8,5.6,0.0,0.0,0.3518573466187794,0.44444091236882266,0.398149129493801,0.37227932536490616,0.5396587680780645,0.03573562418690995,0.11881489512212084,-0.10330547985154048,3.8,4.5,0.0,0.0,0.34110307807934986,0.40002954672237434,0.37056631240086213,0.37227932536490616,-0.46294823839813404,0.03606701325770938,0.11879173586211511,-0.09146399620831946,0.38435772094733156,2026-03-20,23
DECK,20260327,119.0,119.29,5.3,6.1,0.0,0.0,0.3639023748317506,0.42293071256357334,0.393416543697662,0.3668498697647853,0.542465140004049,0.031749070041836164,0.13553381884154359,-0.08973133157221813,4.3,5.3,0.0,3.0,0.338439216765625,0.41223977942973095,0.37533949809767797,0.3668498697647853,-0.4606913271734697,0.032109603906295185,0.13549925546562047,-0.07794000162678927,0.38437802089767,2026-03-27,30
DECK,20260717,120.0,119.29,13.0,15.3,0.0,0.0,0.42192463536864644,0.5007300007710221,0.4613273180698343,0.42192463536864644,0.5664369778762655,0.012571723733223229,0.292284248724652,-0.049376073759878736,11.8,12.6,0.0,20.0,0.41374493454389877,0.4411278089034987,0.42743637172369875,0.42192463536864644,-0.4416964460733508,0.012975303944272949,0.2921693014847673,-0.03794486374867034,0.4443818448967665,2026-07-17,142
DECK,20260918,120.0,119.29,16.8,18.2,0.0,0.0,0.44936351964748084,0.48952594320372056,0.4694447314256007,0.450341996286224,0.5853476820645915,0.009690753245020528,0.3488896278092035,-0.04397968448966694,13.1,15.6,0.0,8.0,0.3903494698600002,0.46190785675705565,0.42612866330852794,0.450341996286224,-0.42409050632056833,0.010075237065938164,0.3489003309795198,-0.03292746292893689,0.44778669736706433,2026-09-18,205
DELL,20260320,124.0,123.77,8.0,8.75,7.0,0.0,0.6424990529267204,0.7032320458187671,0.6728655493727438,0.6678835653961073,0.5356367530590012,0.01921812641640074,0.12350452482731988,-0.18659958171656577,8.0,8.8,0.0,32.0,0.6469376769272472,0.7117285915772249,0.6793331342522361,0.6678835653961073,-0.46581001664442456,0.019313210253180065,0.12349649631682524,-0.17431300059341126,0.6760993418124899,2026-03-20,23
